COM_ID,ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,POBTOT,no_un_acuicolas,area_acui_km2,tot_captura_loc,tot_valor_loc,tot_captura_mun,tot_valor_mun,COM_MUN,pob_mun,tot_captura_mun_per_capita,tot_captura_loc_per_capita,tot_pob_mun,num_permisos_pesca_mun,permisos_pesca_per_capita_mun,num_permisos_acuicolas,permisos_acui_per_capita_mun,neg_acuicolas,neg_pesca,tot_ue,prop_acuicolas,prop_pesca,neg_acui_per_capita,neg_pesca_per_capita
2_1_1121,2,baja california,1,ensenada,1121,agua dulce,13,7,6.880239713108849,330.30368999999996,9026.4045,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,25.40797615384615,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1128,2,baja california,1,ensenada,1128,agua viva,26,0,0,0,0,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,0,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1148,2,baja california,1,ensenada,1148,alfredo v. bonfil,294,0,0,0,0,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,0,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1162,2,baja california,1,ensenada,1162,ampliacion el porvenir,13,0,0,0,0,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,0,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1169,2,baja california,1,ensenada,1169,de los reyes,12,0,0,8379.3374,103993.72609,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,698.2781166666667,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1170,2,baja california,1,ensenada,1170,arce (ejido nacionalista),64,21,21.26265910485905,220.62269,13903.7757497,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,3.44722953125,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1183,2,baja california,1,ensenada,1183,bahia santa maria [campo],7,2,0.21112892591125051,238.228,3573.42,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,34.03257142857143,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1197,2,baja california,1,ensenada,1197,boca san jose,12,0,0,68.11,1446.7399999999998,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,5.675833333333333,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1201,2,baja california,1,ensenada,1201,rancho bonito,38,11,14.10277768175557,0.927,8.902,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,0.024394736842105264,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1238,2,baja california,1,ensenada,1238,serena [campo],13,2,0.020765354476869106,529.13816,41506.78815,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,40.70293538461538,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1251,2,baja california,1,ensenada,1251,sanchez (ejido nacionalista),53,24,24.546842997007573,207.40639000000002,12036.7347497,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,3.9133281132075473,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1266,2,baja california,1,ensenada,1266,san antonio necua (canada de los encinos),200,0,0,0,0,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,0,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1267,2,baja california,1,ensenada,1267,canada del trigo,12,0,0,0,0,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,0,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1280,2,baja california,1,ensenada,1280,cimarron [campo],9,2,0.020765354476869106,529.13816,41506.78815,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,58.79312888888889,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1297,2,baja california,1,ensenada,1297,colonia costa azul,157,24,24.265950628118468,220.62269,13903.7757497,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,1.4052400636942675,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1303,2,baja california,1,ensenada,1303,cristina [campo],5,1,0.010652937892775983,109.2964,3684.1356,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,21.859280000000002,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1309,2,baja california,1,ensenada,1309,cuatro milpas,337,1,0.009503429921259172,46844.4346,214546.0427225,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,139.00425697329376,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1334,2,baja california,1,ensenada,1334,delicias [campo],4,4,0.27620257575547325,238.228,3573.42,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,59.557,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1341,2,baja california,1,ensenada,1341,diamante [campo],4,4,0.27620257575547325,238.228,3573.42,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,59.557,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1345,2,baja california,1,ensenada,1345,gutierrez polanco (rancho panchos),5,0,0,0,0,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,0,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1362,2,baja california,1,ensenada,1362,los encinos,31,0,0,0,0,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,0,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1373,2,baja california,1,ensenada,1373,la esmeralda [campo],9,4,0.27620257575547325,238.228,3573.42,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,26.46977777777778,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1404,2,baja california,1,ensenada,1404,kachirisky [rancho],46,0,0,0,0,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,0,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1414,2,baja california,1,ensenada,1414,la grulla,34,0,0,19.084,2977.598,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,0.5612941176470588,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1444,2,baja california,1,ensenada,1444,la jolla [campo turistico],137,33,42.803089447184696,200.20339,11605.950999699999,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,1.4613386131386863,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1489,2,baja california,1,ensenada,1489,las minas,6,0,0,452.32090000000005,8775.4175,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,75.38681666666668,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1521,2,baja california,1,ensenada,1521,la chuparrosa,6,0,0,94.947,573.935,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,15.8245,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1603,2,baja california,1,ensenada,1603,playa curvina (campo speedys),11,3,0.07321839493897185,529.13816,41506.78815,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,48.10346909090909,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1616,2,baja california,1,ensenada,1616,playa punta loma [campo],6,4,0.27620257575547325,238.228,3573.42,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,39.70466666666667,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1661,2,baja california,1,ensenada,1661,el puerto de santo tomas,15,7,6.880239713108849,291.59869,8210.0945,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,19.439912666666665,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1663,2,baja california,1,ensenada,1663,los pulpos [campo],6,4,0.11443855471883807,109.2964,3684.1356,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,18.216066666666666,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1687,2,baja california,1,ensenada,1687,rancho de dios,9,24,24.546842997007573,207.40639000000002,12036.7347497,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,23.045154444444446,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1700,2,baja california,1,ensenada,1700,rancho viejo,14,0,0,91.70042,2625.1499999999996,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,6.55003,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1707,2,baja california,1,ensenada,1707,ejido nativos del valle de mexicali,8,0,0,0,0,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,0,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1738,2,baja california,1,ensenada,1738,el sauce,21,0,0,0,0,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,0,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1812,2,baja california,1,ensenada,1812,san miguel (cibolas de mar),205,7,8.552498350276204,38026.13093,82950.4876125,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,185.4933216097561,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1814,2,baja california,1,ensenada,1814,san miguel,10,0,0,0,0,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,0,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1825,2,baja california,1,ensenada,1825,san pedro [campo],4,4,0.27620257575547325,238.228,3573.42,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,59.557,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1870,2,baja california,1,ensenada,1870,ejido santa rosa,149,11,14.10277768175557,0,0,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,0,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1919,2,baja california,1,ensenada,1919,toros pintos,20,0,0,0,0,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,0,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1957,2,baja california,1,ensenada,1957,el vergel [campo],19,4,0.27620257575547325,238.228,3573.42,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,12.538315789473685,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1962,2,baja california,1,ensenada,1962,villarino (campo villarino) [campamento turistico],44,33,42.803089447184696,200.20339,11605.950999699999,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,4.550077045454546,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1991,2,baja california,1,ensenada,1991,los encinitos,8,0,0,0,0,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,0,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_1995,2,baja california,1,ensenada,1995,buenos aires,15,0,0,94.947,573.935,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,6.3298000000000005,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_2005,2,baja california,1,ensenada,2005,alborada [fraccionamiento],16,12,9.827876974869785,8840.70145,132680.80226,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,552.543840625,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_2007,2,baja california,1,ensenada,2007,lomas del escorpion,36,7,1.2709112038569381,8796.80745,132256.49926,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,244.3557625,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_2013,2,baja california,1,ensenada,2013,gustavo salgado,19,12,9.827876974869785,8840.70145,132680.80226,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,465.3000763157895,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_2134,2,baja california,1,ensenada,2134,los alamitos,10,0,0,7.203,430.78375,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,0.7203,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_2142,2,baja california,1,ensenada,2142,buena vista,342,0,0,159.25042,3103.0499999999997,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,0.4656445029239766,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_2146,2,baja california,1,ensenada,2146,la palma,9,0,0,94.05041999999999,2646.6499999999996,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,10.450046666666665,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_2147,2,baja california,1,ensenada,2147,rancho nuevo,17,0,0,94.05041999999999,2646.6499999999996,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,5.532377647058823,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_2151,2,baja california,1,ensenada,2151,punta piedra,30,0,0,162.07977,3338.45,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,5.402659,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_2154,2,baja california,1,ensenada,2154,mal paso,7,0,0,162.07977,3338.45,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,23.154252857142858,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_2157,2,baja california,1,ensenada,2157,puerto salina,47,0,0,96.87977,2882.0499999999997,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,2.0612717021276596,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_2158,2,baja california,1,ensenada,2158,rancho torres,30,0,0,96.87977,2882.0499999999997,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,3.2293256666666665,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_2160,2,baja california,1,ensenada,2160,ursulo galvan,99,1,0.4431475043459787,94.52976999999998,2860.5499999999997,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,0.9548461616161614,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_2162,2,baja california,1,ensenada,2162,la salina,29,0,0,96.87977,2882.0499999999997,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,3.340681724137931,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_2178,2,baja california,1,ensenada,2178,nuevo centro de poblacion ejidal el pipila,77,0,0,0,0,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,0,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_2183,2,baja california,1,ensenada,2183,rancho canon buena vista (el zorrillo),8522,0,0,0,0,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,0,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_2221,2,baja california,1,ensenada,2221,playa dorada [campo],74,33,42.803089447184696,207.40639000000002,12036.7347497,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,2.8027890540540543,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_2223,2,baja california,1,ensenada,2223,punta estero,32,26,30.368108684212515,200.20339,11605.950999699999,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,6.2563559375,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_2230,2,baja california,1,ensenada,2230,puente los novatos (la presa),6,2,0.276831211865033,355.2416,9417.358,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,59.20693333333333,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_2231,2,baja california,1,ensenada,2231,el vado,25,0,0,0,0,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,0,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_2233,2,baja california,1,ensenada,2233,san blasito (rancho arce),15,0,0,0,0,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,0,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_2317,2,baja california,1,ensenada,2317,todo santos,88,12,9.827876974869785,281.017,22484.577680000002,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,3.193375,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
2_1_2335,2,baja california,1,ensenada,2335,rancho rendon,41,0,0,0,0,49287.110179999996,314095.4076922,2_1,430551,0.11447449937405789,0,430551,0,0,507,0.0011775608464502463,0,0,0,0,0,0,0
